page,part_number,description,price,includes
54,NX-1300AUBK4,"UHF (400-470MHz), 5W, 64 CH, Basic, Analog",373.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
54,NX-1300AUBK5,"UHF (400-470 MHz), 5W, 260 CH, LCD & Standard Keypad, Analog",463.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
56,KWD-1300CAK,License Key for DMR Tier2 Conventional Upgrade,49.50,
57,NX-1302AUBK,"UHF (450-520MHz), 2W, 64 CH, Basic Model, Analog",337.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
61,KLH-154K2,Heavy duty leather carrying case for NX-3210/NX-210,59.20,
63,KSC-50K,Li-Ion Rapid rate charger (Same as supplied with PKT-300K) 4,2.30,
63,KSC-44MLKS,"AC Adapter (For cradle multi unit use, up to 6 units) 5",3.70,
63,KSC-506K,Rapid rate 6-Unit Charger for KNB-81L 2,44.30,
63,KBH-21W,Belt Clip 1,2.50,
66,NX-5800K,"UHF (450-520MHz), 45 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1300.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5800K2,"UHF (380-470MHz), 45 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1300.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5900K,"700 / 800 MHz, 30/35 Watts NXDN Conventional / 800MHz TYPE-C (Gen1/Gen2) Trunking",1658.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5700BK,"VHF (50W, 136-174 MHz) RF Deck Only",956.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5800BK,"UHF (45W, 450-520 MHz) RF Deck Only",956.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5800BK2,"UHF (45W, 380-470 MHz) RF Deck Only",956.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
66,NX-5900BK,"35W, 700/800 MHz RF Deck Only",1313.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
71,KMC-66M,MIL-SPEC Standard electret mobile microphone with 12 keypad (8-pin mod. plug),126.70,
71,KES-10W,"External speaker, 8.5W rated, 4-Ohm, 3.5mm L-type pin plug",65.30,
71,KCT-72M,External Accessory Connection Cable for KCH-19M / KCH-20RM,49.20,
71,KMC-9C,Control Station Desktop Microphone (8-pin mod. plug),115.30,
71,KMC-59C,Control Station Desktop Microphone (8-pin mod. plug),255.50,
71,KCT-23M2,"DC Cable, 75-110W, 10 feet",52.50,
71,KCT-23M4,"DC Cable, 75/110W, 23 feet",72.20,
71,KCH-20RM,- Remote configuration only. No Internal Speaker included. KES-5A is required.,802.70,
71,KCT-71M3,Remote Control Cable (25 feet),107.00,
71,KCT-71M4,Remote Control Cable (1.6 feet),60.20,
71,KCT-77M2,Remote Control Cable for KCH-21RM (17 feet),245.20,
72,KCT-18,Ignition sense cable,26.30,
72,KLF-2,"Line Filter (suppresses alternator whine, 25dB, 25A max).",56.30,
72,KRA-40GM,GPS Antenna,56.00,
72,KCT-90USB,USB Mobile Cable for SD Card Direct Access Support,124.70,
72,KPS-15,"DC Switching Power Supply (117/230 VAC; 23A max. continuous, 25A peak)",232.00,
72,KMB-34,Control Station Mounting Case for KPS-15 Power Supply with mobile,72.20,
75,KMB-33M,"5AFFM KMC-65M(x2), KCH-20RM(x2), KRK-15BM, KCT-71M2(x2), KCT-23M3, KMB-33M, KES-",2350.00,
75,5AFMM,"KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-",1472.20,
75,5AFMM-MR,"KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-",1671.90,
75,5AHMM-MR,"KCH-21RM, KRK-15BM(x2), KCT-77M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-",2282.80,
75,5AFFMM,"KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2),",2568.20,
75,5AFFMM-MR,"KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2),",2638.40,
75,6AFMIG,"KMC-65M, KCH-20RM, KCT-71M2, KCT-23M4, KCT-72M, KES-5A, KCT-18, KMB-36",1295.30,
75,6AHMIG,"KCH-21RM, KCT-77M2, KCT-23M4, KCT-18, KMB-36",1776.70,
76,L-5029,Factory Assembly & Factory Packing for Single Head Remote Kit and Radio,81.00,
76,L-5030,Factory Assembly & Factory Packing for Dual Head Remote Kit and Radio,151.20,
76,L-5031,Factory Assembly & Factory Packing for Single Head Remote Kit and Dual Deck Radio,91.80,
76,L-5032,Factory Assembly & Factory Packing for Single Head / Dual Deck / Ext. Speakers,162.00,
76,L-5033,Factory Assembly & Factory Packing for Dual Head and Dual Deck Radio,162.00,
76,L-5034,Factory Assembly & Factory Packing for Dual Head / Dual Deck / Ext. Speakers,167.30,
76,L-5035,Factory Assembly & Factory Packing for Single Head Remote and Triple Deck Radio,151.20,
76,L-5037,Factory Assembly & Factory Packing for Dual Head and Triple Deck Radio,172.80,
76,L-5006,NX-5000 Mobile Programming (with basic TX/RX check),40.50,
76,L-5007,Install KWD-AE30K in NX-5000 series Mobile,81.00,
76,L-5008,Install KWD-AE31K in NX-5000 series Mobile,81.00,
76,L-5015,Install KAP-2 (Default) HR1/INTERNAL Sp./PA.,27.00,
76,L-5019,Install KAP-2 (Default) HR1/EXTERNAL Sp./PA.,27.00,
77,KPG-115,Encryption Key Loader Interface Cable for Motorola KVL-3000/3000 Plus/4000,374.20,
77,KPG-115AUT,KVL-4000 Radio Authentication Cable,469.50,
77,KPG-46XM,Full Speed USB Programming interface cable,212.30,
77,KPG-CLN-RJ45,"Mobile-to-Mobile Cloning Cable (RJ45:RJ45), 3m",229.50,
78,NX-3820HGK,"UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones",901.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
78,NX-3820HGK2,"UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones",901.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
78,NX-3820HGK-TR,"UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking",934.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
78,NX-3820HGK2-TR,"UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking",934.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
79,KRK-19BM,Interface Kit for an RF Deck,49.20,
79,KCT-71A50,KCT-71A Extended Control Head Cable (up to 50 ft. max.),249.50,
79,KCT-71A100,KCT-71A Extended Control Head Cable (up to 100 ft. max.),321.50,
79,KMB-10,Key lock adapter,35.20,
80,KES-5A,"External speaker, 40W max input",80.30,
80,L-5053,NX-3720HG/3820HG/3920G/3921G Programming (with basic TX/RX check),40.50,
82,NX-3921GK,"900MHz, 15 Watts, 512 CH, 128 Zones, NXDN Conv & Trunking",1177.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
86,NX-1800HNUK2,"400-470 MHz UHF 45W, 260 Ch / 128 Zones",577.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
87,GA25MCX,Garmin On-dash Style Magnetic base GPS Antenna for GPS15XL-W,83.20,
87,KPG-D6NK,License Key for KPG-D6NK,122.80,
87,L-1873,NX-1000 Series Mobiles Programming (with basic TX/RX check),40.50,
87,L-1874,Install Garmin GPS15XL-W in NX-1000 Series mobile,108.00,
88,NX-1800HDUK2,"400-470 MHz UHF 45W, 260 Ch / 128 Zones",577.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
90,NX-1000,series mobiles include: • Multiple Scan Functions •,6.25,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
90,NX-1800HAUK2,"400-470 MHz UHF 45W, 260 Ch / 128 Zones",548.30,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
