model,brand,type,price,image,includes,features,specLink,specTable,compatibleModels,short-description,industry,catalog-copy,root-model
NX-5200,Kenwood,portable,,kenwood/images/nx-5200.png,,"Remote Check | Short & Long Data Messages | Complies with ETSI DMR Tier II standards | Easy to follow GUI for at-a-glance operational status checking | line Text to convey more information | P25 Phase 1 Conventional/Trunked Operation | 4-way Directional-pad (D-pad) and 2-Position Lever Switch | P25 Phase 2 Trunked Operation | Talk Group ID Lists | Built-In GPS Receiver/Antenna for effective fleet management | Individual ID Lists | Bluetooth® Module built-in for hands-free operation | Caller ID Display | Renowned KENWOOD Audio Quality can be achieved with | Remote Monitor/Remote Check | in DSP with | Radio Inhibit | Encryption Key Zeroize & Retention | Built-in 56-bit DES Encryption | P25 Over-the-Air Re-keying | microSD/microSDHC Memory Card Slot for increased | Conventional & LTR Zones | IP67/68 and MIL-STD-810 C/D/E/F/G | NPSPAC (USA only) Channels (±4.0 Modulation) | FleetSync®/II: PTT ID ANI / Caller ID Display, Selective Group | 6 W (136-174 MHz) Models | MDC-1200: PTT ID ANI / Caller ID Display, Emergency, | 5 W (380-470, 450-520 MHz) Models Radio Check / Inhibit | 3 W (700/800 MHz) Models | QT / DQT & Two-Tone | Full Key Models (w/ numeric keypad) and Standard Key | Built-in Voice Inversion Scrambler | Maximum of 4,000 CH/Radio capacity, 512 CH/Zone, 128 Zones | AMBE+2™ Enhanced Vocoder | System consists of a Li-ion or Ni-MH rechargeable battery | 1 W Loud Speaker Audio (KNB-L1/L2/L3/N4), Rapid Charger (KSC-Y32), and Battery | 12/12PRO) software | Up to 60 Rapid Chargers can be chain-connected to a PC | Gen2 & NXDN Type-C Trunked Operation | KAS-12 Battery Reader software can display and manage",kenwood/specs/nx-5200.pdf,,KAS-12 | KBH-11 | KBP-8 | KMC-41D | KMC-54WD | KNB-L1 | KNB-N4 | KPG-180AP | KRA-22 | KRA-23 | KRA-26 | KRA-27 | KRA-32 | KRA-41 | KSC-326 | KSC-Y32 | KWD-AE30,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,Public Safety | Business | Government,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,NX-5200
NX-5300,Kenwood,portable,,kenwood/images/nx-5300.png,,"Remote Check | Short & Long Data Messages | Complies with ETSI DMR Tier II standards | Easy to follow GUI for at-a-glance operational status checking | line Text to convey more information | P25 Phase 1 Conventional/Trunked Operation | 4-way Directional-pad (D-pad) and 2-Position Lever Switch | P25 Phase 2 Trunked Operation | Talk Group ID Lists | Built-In GPS Receiver/Antenna for effective fleet management | Individual ID Lists | Bluetooth® Module built-in for hands-free operation | Caller ID Display | Renowned KENWOOD Audio Quality can be achieved with | Remote Monitor/Remote Check | in DSP with | Radio Inhibit | Encryption Key Zeroize & Retention | Built-in 56-bit DES Encryption | P25 Over-the-Air Re-keying | microSD/microSDHC Memory Card Slot for increased | Conventional & LTR Zones | IP67/68 and MIL-STD-810 C/D/E/F/G | NPSPAC (USA only) Channels (±4.0 Modulation) | FleetSync®/II: PTT ID ANI / Caller ID Display, Selective Group | 6 W (136-174 MHz) Models | MDC-1200: PTT ID ANI / Caller ID Display, Emergency, | 5 W (380-470, 450-520 MHz) Models Radio Check / Inhibit | 3 W (700/800 MHz) Models | QT / DQT & Two-Tone | Full Key Models (w/ numeric keypad) and Standard Key | Built-in Voice Inversion Scrambler | Maximum of 4,000 CH/Radio capacity, 512 CH/Zone, 128 Zones | AMBE+2™ Enhanced Vocoder | System consists of a Li-ion or Ni-MH rechargeable battery | 1 W Loud Speaker Audio (KNB-L1/L2/L3/N4), Rapid Charger (KSC-Y32), and Battery | 12/12PRO) software | Up to 60 Rapid Chargers can be chain-connected to a PC | Gen2 & NXDN Type-C Trunked Operation | KAS-12 Battery Reader software can display and manage",kenwood/specs/nx-5300.pdf,,KAS-12 | KBH-11 | KBP-8 | KMC-41D | KMC-54WD | KNB-L1 | KNB-N4 | KPG-180AP | KRA-22 | KRA-23 | KRA-26 | KRA-27 | KRA-32 | KRA-41 | KSC-326 | KSC-Y32 | KWD-AE30,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,Public Safety | Business | Government,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,NX-5300
NX-5400,Kenwood,portable,,kenwood/images/nx-5400.png,,"Remote Check | Short & Long Data Messages | Complies with ETSI DMR Tier II standards | Easy to follow GUI for at-a-glance operational status checking | line Text to convey more information | P25 Phase 1 Conventional/Trunked Operation | 4-way Directional-pad (D-pad) and 2-Position Lever Switch | P25 Phase 2 Trunked Operation | Talk Group ID Lists | Built-In GPS Receiver/Antenna for effective fleet management | Individual ID Lists | Bluetooth® Module built-in for hands-free operation | Caller ID Display | Renowned KENWOOD Audio Quality can be achieved with | Remote Monitor/Remote Check | in DSP with | Radio Inhibit | Encryption Key Zeroize & Retention | Built-in 56-bit DES Encryption | P25 Over-the-Air Re-keying | microSD/microSDHC Memory Card Slot for increased | Conventional & LTR Zones | IP67/68 and MIL-STD-810 C/D/E/F/G | NPSPAC (USA only) Channels (±4.0 Modulation) | FleetSync®/II: PTT ID ANI / Caller ID Display, Selective Group | 6 W (136-174 MHz) Models | MDC-1200: PTT ID ANI / Caller ID Display, Emergency, | 5 W (380-470, 450-520 MHz) Models Radio Check / Inhibit | 3 W (700/800 MHz) Models | QT / DQT & Two-Tone | Full Key Models (w/ numeric keypad) and Standard Key | Built-in Voice Inversion Scrambler | Maximum of 4,000 CH/Radio capacity, 512 CH/Zone, 128 Zones | AMBE+2™ Enhanced Vocoder | System consists of a Li-ion or Ni-MH rechargeable battery | 1 W Loud Speaker Audio (KNB-L1/L2/L3/N4), Rapid Charger (KSC-Y32), and Battery | 12/12PRO) software | Up to 60 Rapid Chargers can be chain-connected to a PC | Gen2 & NXDN Type-C Trunked Operation | KAS-12 Battery Reader software can display and manage",kenwood/specs/nx-5400.pdf,,KAS-12 | KBH-11 | KBP-8 | KMC-41D | KMC-54WD | KNB-L1 | KNB-N4 | KPG-180AP | KRA-22 | KRA-23 | KRA-26 | KRA-27 | KRA-32 | KRA-41 | KSC-326 | KSC-Y32 | KWD-AE30,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,Public Safety | Business | Government,NEXEDGE VHF/UHF/700-800 MHz MULTI-PROTOCOL DIGITAL & ANALOG PORTABLE RADIOS,NX-5400
